Qubits,Camadas,Params VQC,Params Total,Acuracia (%),Sensibil. (%),Especif. (%),F1-score,AUC-ROC,Tempo medio (s)
4,3,24,11178588,76.2,95.2867,24.99,0.8537,0.757,3242.1
8,3,48,11180664,76.5,94.26,28.87,0.8538,0.747,6550.8
12,3,72,11182740,75.9,97.2967,18.51,0.8548,0.7213,11806.5
4,2,16,11178580,75.6533,96.3967,20.04,0.8525,0.7091,1626.8
12,1,24,11182692,74.3233,98.17,10.3633,0.8478,0.6813,1817.8
8,2,32,11180648,73.2367,97.58,7.9433,0.8415,0.6637,2891.0
12,2,48,11182716,73.9667,96.37,13.88,0.8436,0.6524,4460.2
8,1,16,11180632,74.25,95.2633,17.8733,0.8435,0.646,1358.1
4,1,8,11178572,73.2367,97.53,8.0767,0.8415,0.595,730.2
