Modelo,Acuracia (%),Sensibil. (%),Especif. (%),F1-score,AUC-ROC,Parametros,Tempo (s)
CNN-VQC (4 qubits),75.808 +/- 1.7711,97.374 +/- 2.1772,17.958 +/- 10.4763,0.8544 +/- 0.0083,0.7734 +/- 0.0313,11178580.0,3058.16
CNN-VQC (8 qubits),76.07 +/- 1.6404,95.444 +/- 2.9848,24.102 +/- 13.3222,0.8533 +/- 0.0059,0.7931 +/- 0.0319,11180648.0,5787.8
ResNet-18,96.904 +/- 0.52,97.964 +/- 0.5569,94.062 +/- 1.4373,0.9788 +/- 0.0035,0.993 +/- 0.0014,11177025.0,104.16
EfficientNet-B0,96.4 +/- 0.2763,97.762 +/- 0.8778,92.746 +/- 2.1399,0.9753 +/- 0.002,0.9914 +/- 0.001,4008829.0,1121.68
CNN Customizada,90.888 +/- 0.6102,93.666 +/- 1.0821,83.428 +/- 2.3319,0.9374 +/- 0.0044,0.9631 +/- 0.0027,93377.0,414.84
