Modelo,Volume (imgs),Treino (amostras),Validacao (amostras),Parametros,Tempo treino total (s),Tempo treino/epoch (s),Tempo extrap. 50ep (s),Inferencia (ms/img),Acuracia (%),AUC-ROC
CNN-VQC (8 qubits),1000,800,201,11180648,257.5,25.75,1287.5,5.8066,73.63,0.4214
ResNet-18,1000,800,201,11177025,18.1,1.81,90.5,1.2403,93.03,0.9714
CNN-VQC (8 qubits),5000,4000,1000,11180648,1275.5,127.55,6377.5,5.4725,72.4,0.7235
ResNet-18,5000,4000,1000,11177025,65.1,6.51,325.5,1.8598,96.2,0.9894
CNN-VQC (8 qubits),10000,8000,2000,11180648,2633.0,263.3,13165.0,5.4736,75.5,0.7856
ResNet-18,10000,8000,2000,11177025,129.9,12.99,649.5,1.5057,99.05,0.9996
CNN-VQC (8 qubits),50000,40000,10000,11180648,13209.9,1320.99,66049.5,4.5579,75.35,0.8052
ResNet-18,50000,40000,10000,11177025,617.7,61.77,3088.5,1.3499,100.0,1.0
